ang speed,angle,q_0,q_1
0.26,0.08,9.224802017211914,9.872368812561035
-0.01,0.08,9.89329719543457,9.602808952331543
0.31,0.08,9.06987476348877,9.814453125
0.04,0.09,9.865883827209473,9.76012134552002
0.36,0.09,8.8314847946167,9.859375953674316
0.1,0.1,9.639748573303223,10.132832527160645
-0.16,0.1,9.929283142089844,9.491471290588379
0.16,0.1,9.497708320617676,10.13497257232666
-0.1,0.1,9.992725372314453,9.701854705810547
0.23,0.1,9.366642951965332,10.009833335876465
0.55,0.1,7.700063228607178,9.901651382446289
0.29,0.11,8.935681343078613,9.944005966186523
0.04,0.12,9.782247543334961,10.30124568939209
-0.22,0.12,10.072307586669922,9.71310043334961
0.11,0.12,9.639530181884766,10.31469440460205
-0.14,0.12,10.137232780456543,10.007966041564941
0.19,0.12,9.387447357177734,10.16399097442627
-0.07,0.12,10.047473907470703,10.165884017944336
0.26,0.12,8.947810173034668,10.223374366760254
0.01,0.12,9.952847480773926,10.54943561553955
-0.24,0.12,10.28236198425293,10.1093168258667
0.08,0.12,9.729133605957031,10.434216499328613
-0.17,0.12,10.24460506439209,10.308679580688477
0.16,0.12,9.364477157592773,10.391550064086914
-0.09,0.12,10.251681327819824,10.733171463012695
-0.35,0.12,10.449628829956055,10.168926239013672
-0.02,0.11,10.02670669555664,10.664911270141602
-0.27,0.11,10.452244758605957,10.415125846862793
0.05,0.11,9.748913764953613,10.484009742736816
-0.21,0.11,10.408716201782227,10.520970344543457
0.12,0.1,9.425148963928223,10.47040843963623
-0.14,0.11,10.195777893066406,10.54554557800293
-0.4,0.1,10.473602294921875,10.02111530303955
-0.07,0.09,9.951390266418457,10.414291381835938
-0.34,0.09,10.445116996765137,10.13038158416748
-0.02,0.09,9.725378036499023,10.271756172180176
-0.28,0.09,10.396147727966309,10.173416137695312
0.04,0.08,9.514955520629883,10.164288520812988
-0.23,0.08,10.104744911193848,10.146886825561523
-0.49,0.08,10.128141403198242,9.238884925842285
-0.18,0.07,9.960028648376465,10.060325622558594
-0.45,0.06,10.071980476379395,9.254749298095703
-0.14,0.05,9.824953079223633,9.975900650024414
-0.41,0.05,9.993078231811523,9.239615440368652
-0.1,0.04,9.709444999694824,9.880922317504883
-0.38,0.04,9.897273063659668,9.179859161376953
-0.08,0.03,9.613999366760254,9.786568641662598
-0.36,0.03,9.773409843444824,9.090217590332031
-0.06,0.02,9.508686065673828,9.699239730834961
-0.34,0.02,9.639705657958984,8.98549747467041
-0.04,0.02,9.404120445251465,9.617044448852539
-0.33,0.02,9.493611335754395,8.868221282958984
-0.03,0.01,9.281360626220703,9.538719177246094
-0.32,0.01,9.334786415100098,8.749496459960938
-0.03,0.0,9.146734237670898,9.461833000183105
-0.32,0.0,9.184877395629883,8.633137702941895
-0.03,-0.01,9.016536712646484,9.360867500305176
-0.32,-0.01,9.280688285827637,9.309952735900879
-0.62,-0.01,9.291810035705566,7.51729679107666
-0.33,-0.02,8.973100662231445,8.418846130371094
-0.04,-0.03,8.860196113586426,9.20182991027832
-0.34,-0.03,8.883366584777832,8.27302360534668
-0.06,-0.04,8.968949317932129,8.747316360473633
0.22,-0.04,8.303422927856445,8.799259185791016
-0.09,-0.04,8.860349655151367,8.60021686553955
0.19,-0.04,8.234036445617676,8.727521896362305
-0.11,-0.03,8.727437019348145,8.444561958312988
0.17,-0.04,8.160265922546387,8.663786888122559
-0.13,-0.03,8.594810485839844,8.283079147338867
0.15,-0.03,8.09634017944336,8.60571575164795
-0.15,-0.03,8.465507507324219,8.12199878692627
0.13,-0.03,8.037795066833496,8.551217079162598
-0.17,-0.03,8.343162536621094,7.965529441833496
0.11,-0.04,7.983059406280518,8.484915733337402
