pos,angle,q_0,q_1
0.04,0.02,-0.034041717648506165,0.07710900157690048
0.03,0.02,-0.0629369392991066,0.1016785129904747
0.04,0.02,-0.09247859567403793,0.11052744090557098
0.04,0.0,-0.11765429377555847,0.11562268435955048
0.06,-0.01,-0.14582397043704987,0.12454589456319809
0.07,-0.04,-0.1690506637096405,0.12814034521579742
0.09,-0.07,-0.1824953854084015,0.13061314821243286
0.11,-0.1,-0.19214850664138794,0.13523553311824799
0.14,-0.14,-0.2006249725818634,0.14086712896823883
0.17,-0.19,-0.2085867077112198,0.14706951379776
0.04,-0.02,-0.03573749214410782,0.10386262834072113
0.04,-0.02,-0.07286255061626434,0.17032036185264587
0.04,-0.03,-0.107664555311203,0.24070577323436737
0.05,-0.04,-0.13720038533210754,0.33602404594421387
0.06,-0.06,-0.16657574474811554,0.45811450481414795
0.08,-0.08,-0.19090482592582703,0.6076197624206543
0.1,-0.11,-0.21139578521251678,0.7932546734809875
0.12,-0.15,-0.18524381518363953,0.7977432608604431
0.14,-0.18,-0.20082587003707886,1.0191917419433594
-0.05,0.02,-0.06050768494606018,0.37403878569602966
-0.05,0.02,-0.09565608203411102,0.5044077634811401
-0.04,0.01,-0.10466186702251434,0.6614398956298828
-0.04,0.0,-0.08718547970056534,0.8588629961013794
-0.03,-0.02,-0.06679300963878632,1.1035321950912476
-0.01,-0.04,-0.039054445922374725,1.37947416305542
0.01,-0.07,0.0020157843828201294,1.6930869817733765
0.03,-0.1,0.03412860631942749,1.5901844501495361
0.05,-0.13,0.1113591343164444,1.9474869966506958
0.07,-0.17,0.20502716302871704,2.3571977615356445
0.01,0.05,0.017734169960021973,0.7605606317520142
0.01,0.05,0.023419156670570374,0.9619759917259216
0.01,0.05,0.06945302337408066,1.2106990814208984
0.02,0.04,0.15261682868003845,1.5290738344192505
0.03,0.02,0.2647055685520172,1.9092034101486206
0.05,-0.0,0.4035457372665405,2.3333096504211426
0.07,-0.03,0.5774485468864441,2.808675765991211
0.09,-0.06,0.7862167954444885,3.3472776412963867
0.12,-0.1,1.0149613618850708,3.901956558227539
0.15,-0.14,1.2859708070755005,4.522640228271484
0.18,-0.2,1.580277919769287,5.177377700805664
0.02,0.02,0.2634059488773346,1.348043441772461
0.02,0.02,0.35240814089775085,1.6572370529174805
0.02,0.01,0.5018255710601807,2.0338478088378906
0.03,0.0,0.4275972247123718,1.7733451128005981
0.04,-0.0,0.6043229103088379,2.175785541534424
0.04,-0.02,0.8641492128372192,2.738193988800049
0.06,-0.03,0.7229167819023132,2.358947515487671
0.06,-0.05,1.014760971069336,2.9408915042877197
0.08,-0.06,0.8538257479667664,2.5267932415008545
0.08,-0.08,1.1988544464111328,3.1734087467193604
0.1,-0.09,1.024749755859375,2.7477383613586426
0.1,-0.11,1.4121073484420776,3.358341693878174
0.12,-0.13,1.8426059484481812,4.015777111053467
0.13,-0.15,2.3161253929138184,4.697222709655762
0.15,-0.19,2.819370746612549,5.414267539978027
-0.04,0.0,0.9076375961303711,2.250652551651001
-0.04,0.0,0.8102004528045654,2.0212526321411133
-0.04,0.01,1.0240037441253662,2.400972604751587
-0.04,0.01,1.3025610446929932,2.8389227390289307
-0.03,0.0,1.6871672868728638,3.3808369636535645
-0.03,-0.01,1.4665383100509644,2.9989242553710938
-0.02,-0.02,1.3030104637145996,2.688152313232422
-0.02,-0.02,1.6538561582565308,3.170952320098877
-0.02,-0.02,2.1286230087280273,3.7649970054626465
-0.01,-0.04,2.7481162548065186,4.497009754180908
0.0,-0.05,3.440202236175537,5.293174743652344
0.02,-0.08,4.19649076461792,6.155562877655029
0.04,-0.11,4.9900312423706055,7.058567047119141
0.06,-0.15,5.825076580047607,7.983100414276123
0.09,-0.19,6.697422981262207,8.928547859191895
-0.0,0.04,2.0808804035186768,3.421454906463623
-0.0,0.04,2.532625198364258,3.928555965423584
0.0,0.04,3.1009116172790527,4.5259222984313965
0.01,0.03,3.8201904296875,5.270756244659424
0.03,0.01,4.625066757202148,6.105005264282227
0.04,-0.01,5.469638824462891,6.9670023918151855
0.06,-0.04,6.369787216186523,7.895681858062744
0.09,-0.08,7.18598747253418,8.79779052734375
0.11,-0.12,8.040183067321777,9.76675796508789
0.15,-0.16,8.907119750976562,10.708321571350098
0.01,0.01,2.766578435897827,4.092740058898926
0.01,0.01,2.443431854248047,3.746201992034912
0.0,0.01,2.828596830368042,4.212602615356445
0.0,0.01,3.284285068511963,4.76211404800415
0.01,0.01,2.8985376358032227,4.326372146606445
0.01,0.01,3.3338983058929443,4.833919525146484
0.01,0.0,3.8691835403442383,5.393209934234619
0.02,-0.01,4.480785369873047,6.000405311584473
0.03,-0.03,3.891040086746216,5.354574203491211
0.04,-0.04,4.457360744476318,5.845430850982666
0.05,-0.06,5.03807258605957,6.299314498901367
0.06,-0.08,4.437073230743408,5.60917854309082
0.07,-0.1,4.968622207641602,5.936201095581055
0.09,-0.12,5.491151809692383,6.219438552856445
0.11,-0.15,5.9815568923950195,6.423469543457031
0.13,-0.19,5.365560531616211,5.705577850341797
-0.01,-0.03,3.2921016216278076,4.27278470993042
-0.01,-0.03,3.6069235801696777,4.469278812408447
-0.01,-0.03,3.9750630855560303,4.655424118041992
0.0,-0.04,3.6281049251556396,4.389031887054443
0.01,-0.05,3.3886568546295166,4.20069694519043
0.01,-0.05,3.6558468341827393,4.3517255783081055
0.01,-0.06,3.9711501598358154,4.479520797729492
0.02,-0.07,4.278936386108398,4.539515495300293
0.03,-0.09,4.575467586517334,4.5884013175964355
0.05,-0.12,4.86772346496582,4.632839202880859
0.07,-0.15,4.447765827178955,4.390096187591553
0.09,-0.17,4.7469940185546875,4.4373297691345215
0.11,-0.21,5.051949977874756,4.499780178070068
-0.04,0.03,3.6695055961608887,4.5484113693237305
-0.04,0.03,3.8872382640838623,4.669195175170898
-0.04,0.02,4.118448257446289,4.754288673400879
-0.03,0.01,4.317662715911865,4.763360977172852
-0.02,-0.01,4.530595302581787,4.75952672958374
0.0,-0.03,4.751969814300537,4.766732215881348
0.02,-0.06,4.930273056030273,4.692316055297852
0.04,-0.1,5.09222936630249,4.594114780426025
0.07,-0.14,4.726189613342285,4.415200233459473
0.1,-0.17,4.375355243682861,4.239664077758789
0.12,-0.2,4.105647087097168,4.165606498718262
0.04,-0.02,3.8064510822296143,4.819322109222412
0.04,-0.02,3.9408118724823,4.879390716552734
0.04,-0.02,4.0957350730896,4.895394802093506
